HD Point of equivalence class 6,LD Point,Equivalence Class
"[0, 0, 2, 1, 2, 1]","[4.30802603036879, 1.6919739696312392]",6
"[0, 0, 1, 2, 2, 1]","[4.321041214750569, 1.6789587852494605]",6
"[0, 3, 1, 1, 0, 1]","[4.334056399132347, 1.6659436008676818]",6
"[0, 3, 1, 0, 1, 1]","[4.347071583514126, 1.652928416485903]",6
"[0, 3, 0, 1, 1, 1]","[4.360086767895904, 1.6399132321041243]",6
"[0, 1, 3, 1, 0, 1]","[4.373101952277683, 1.6268980477223456]",6
"[0, 1, 3, 0, 1, 1]","[4.386117136659461, 1.6138828633405669]",6
"[0, 1, 1, 3, 0, 1]","[4.39913232104124, 1.6008676789587881]",6
"[0, 1, 1, 0, 3, 1]","[4.412147505423018, 1.5878524945770094]",6
"[0, 1, 0, 3, 1, 1]","[4.425162689804797, 1.5748373101952307]",6
"[0, 1, 0, 1, 3, 1]","[4.438177874186575, 1.561822125813452]",6
"[0, 0, 3, 1, 1, 1]","[4.451193058568354, 1.5488069414316732]",6
"[0, 0, 1, 3, 1, 1]","[4.464208242950132, 1.5357917570498945]",6
"[0, 0, 1, 1, 3, 1]","[4.477223427331911, 1.5227765726681157]",6
"[0, 3, 2, 0, 0, 1]","[4.490238611713689, 1.509761388286337]",6
"[0, 3, 0, 2, 0, 1]","[4.503253796095468, 1.4967462039045583]",6
"[0, 3, 0, 0, 2, 1]","[4.516268980477246, 1.4837310195227795]",6
"[0, 2, 3, 0, 0, 1]","[4.529284164859025, 1.4707158351410008]",6
"[0, 2, 0, 3, 0, 1]","[4.542299349240803, 1.457700650759222]",6
"[0, 2, 0, 0, 3, 1]","[4.555314533622582, 1.4446854663774433]",6
"[0, 0, 3, 2, 0, 1]","[4.56832971800436, 1.4316702819956646]",6
"[0, 0, 3, 0, 2, 1]","[4.581344902386139, 1.4186550976138859]",6
"[0, 0, 2, 3, 0, 1]","[4.594360086767917, 1.4056399132321071]",6
"[0, 0, 2, 0, 3, 1]","[4.607375271149696, 1.3926247288503284]",6
"[0, 0, 0, 3, 2, 1]","[4.620390455531474, 1.3796095444685497]",6
"[0, 0, 0, 2, 3, 1]","[4.633405639913253, 1.366594360086771]",6
"[0, 4, 1, 0, 0, 1]","[4.646420824295031, 1.3535791757049922]",6
"[0, 4, 0, 1, 0, 1]","[4.65943600867681, 1.3405639913232135]",6
"[0, 4, 0, 0, 1, 1]","[4.672451193058588, 1.3275488069414347]",6
"[0, 1, 4, 0, 0, 1]","[4.685466377440367, 1.314533622559656]",6
"[0, 1, 0, 4, 0, 1]","[4.698481561822145, 1.3015184381778773]",6
"[0, 1, 0, 0, 4, 1]","[4.711496746203924, 1.2885032537960985]",6
"[0, 0, 4, 1, 0, 1]","[4.724511930585702, 1.2754880694143198]",6
"[0, 0, 4, 0, 1, 1]","[4.737527114967481, 1.262472885032541]",6
"[0, 0, 1, 4, 0, 1]","[4.750542299349259, 1.2494577006507623]",6
"[0, 0, 1, 0, 4, 1]","[4.763557483731038, 1.2364425162689836]",6
"[0, 0, 0, 4, 1, 1]","[4.7765726681128164, 1.2234273318872049]",6
"[0, 0, 0, 1, 4, 1]","[4.789587852494595, 1.2104121475054261]",6
"[0, 2, 2, 1, 1, 0]","[4.8026030368763735, 1.1973969631236474]",6
"[0, 2, 1, 2, 1, 0]","[4.815618221258152, 1.1843817787418687]",6
"[0, 2, 1, 1, 2, 0]","[4.8286334056399305, 1.17136659436009]",6
"[0, 1, 2, 2, 1, 0]","[4.841648590021709, 1.1583514099783112]",6
"[0, 1, 2, 1, 2, 0]","[4.8546637744034875, 1.1453362255965325]",6
"[0, 1, 1, 2, 2, 0]","[4.867678958785266, 1.1323210412147537]",6
"[0, 3, 1, 1, 1, 0]","[4.8806941431670445, 1.119305856832975]",6
"[0, 2, 2, 2, 0, 0]","[4.893709327548823, 1.1062906724511963]",6
"[0, 2, 2, 0, 2, 0]","[4.9067245119306016, 1.0932754880694175]",6
"[0, 2, 0, 2, 2, 0]","[4.91973969631238, 1.0802603036876388]",6
"[0, 1, 3, 1, 1, 0]","[4.932754880694159, 1.06724511930586]",6
"[0, 1, 1, 3, 1, 0]","[4.945770065075937, 1.0542299349240813]",6
"[0, 1, 1, 1, 3, 0]","[4.958785249457716, 1.0412147505423026]",6
"[0, 0, 2, 2, 2, 0]","[4.971800433839494, 1.0281995661605239]",6
"[0, 3, 2, 1, 0, 0]","[4.984815618221273, 1.0151843817787451]",6
"[0, 3, 2, 0, 1, 0]","[4.997830802603051, 1.0021691973969664]",6
"[0, 3, 1, 2, 0, 0]","[5.01084598698483, 0.9891540130151877]",6
"[0, 3, 1, 0, 2, 0]","[5.023861171366608, 0.976138828633409]",6
"[0, 3, 0, 2, 1, 0]","[5.036876355748387, 0.9631236442516302]",6
"[0, 3, 0, 1, 2, 0]","[5.049891540130165, 0.9501084598698515]",6
"[0, 2, 3, 1, 0, 0]","[5.062906724511944, 0.9370932754880728]",6
"[0, 2, 3, 0, 1, 0]","[5.075921908893722, 0.924078091106294]",6
"[0, 2, 1, 3, 0, 0]","[5.088937093275501, 0.9110629067245153]",6
"[0, 2, 1, 0, 3, 0]","[5.101952277657279, 0.8980477223427366]",6
"[0, 2, 0, 3, 1, 0]","[5.114967462039058, 0.8850325379609578]",6
"[0, 2, 0, 1, 3, 0]","[5.127982646420836, 0.8720173535791791]",6
"[0, 1, 3, 2, 0, 0]","[5.140997830802615, 0.8590021691974004]",6
"[0, 1, 3, 0, 2, 0]","[5.154013015184393, 0.8459869848156216]",6
"[0, 1, 2, 3, 0, 0]","[5.167028199566172, 0.8329718004338429]",6
"[0, 1, 2, 0, 3, 0]","[5.18004338394795, 0.8199566160520642]",6
"[0, 1, 0, 3, 2, 0]","[5.193058568329729, 0.8069414316702854]",6
"[0, 1, 0, 2, 3, 0]","[5.206073752711507, 0.7939262472885067]",6
"[0, 0, 5, 0, 0, 1]","[5.219088937093286, 0.780911062906728]",6
"[0, 0, 3, 2, 1, 0]","[5.232104121475064, 0.7678958785249492]",6
"[0, 0, 3, 1, 2, 0]","[5.245119305856843, 0.7548806941431705]",6
"[0, 0, 2, 3, 1, 0]","[5.258134490238621, 0.7418655097613918]",6
"[0, 0, 2, 1, 3, 0]","[5.2711496746204, 0.728850325379613]",6
"[0, 0, 1, 3, 2, 0]","[5.284164859002178, 0.7158351409978343]",6
"[0, 0, 1, 2, 3, 0]","[5.297180043383957, 0.7028199566160556]",6
"[0, 0, 0, 5, 0, 1]","[5.310195227765735, 0.6898047722342768]",6
"[0, 0, 0, 0, 5, 1]","[5.323210412147514, 0.6767895878524981]",6
"[0, 5, 0, 0, 0, 1]","[5.336225596529292, 0.6637744034707194]",6
"[0, 4, 1, 1, 0, 0]","[5.349240780911071, 0.6507592190889406]",6
"[0, 4, 1, 0, 1, 0]","[5.362255965292849, 0.6377440347071619]",6
"[0, 4, 0, 1, 1, 0]","[5.375271149674628, 0.6247288503253832]",6
"[0, 3, 3, 0, 0, 0]","[5.3882863340564064, 0.6117136659436044]",6
"[0, 3, 0, 3, 0, 0]","[5.401301518438185, 0.5986984815618257]",6
"[0, 3, 0, 0, 3, 0]","[5.4143167028199635, 0.585683297180047]",6
"[0, 1, 4, 1, 0, 0]","[5.427331887201742, 0.5726681127982682]",6
"[0, 1, 4, 0, 1, 0]","[5.4403470715835205, 0.5596529284164895]",6
"[0, 1, 1, 4, 0, 0]","[5.453362255965299, 0.5466377440347108]",6
"[0, 1, 1, 0, 4, 0]","[5.4663774403470775, 0.533622559652932]",6
"[0, 1, 0, 4, 1, 0]","[5.479392624728856, 0.5206073752711533]",6
"[0, 1, 0, 1, 4, 0]","[5.4924078091106345, 0.5075921908893746]",6
"[0, 0, 4, 1, 1, 0]","[5.505422993492413, 0.49457700650759584]",6
"[0, 0, 3, 3, 0, 0]","[5.5184381778741916, 0.4815618221258171]",6
"[0, 0, 3, 0, 3, 0]","[5.53145336225597, 0.4685466377440384]",6
"[0, 0, 1, 4, 1, 0]","[5.544468546637749, 0.45553145336225964]",6
"[0, 0, 1, 1, 4, 0]","[5.557483731019527, 0.4425162689804809]",6
"[0, 0, 0, 3, 3, 0]","[5.570498915401306, 0.4295010845987022]",6
"[0, 4, 2, 0, 0, 0]","[5.583514099783084, 0.41648590021692344]",6
"[0, 4, 0, 2, 0, 0]","[5.596529284164863, 0.4034707158351447]",6
"[0, 4, 0, 0, 2, 0]","[5.609544468546641, 0.390455531453366]",6
"[0, 2, 4, 0, 0, 0]","[5.62255965292842, 0.37744034707158725]",6
"[0, 2, 0, 4, 0, 0]","[5.635574837310198, 0.3644251626898085]",6
"[0, 2, 0, 0, 4, 0]","[5.648590021691977, 0.3514099783080298]",6
"[0, 0, 4, 2, 0, 0]","[5.661605206073755, 0.33839479392625105]",6
"[0, 0, 4, 0, 2, 0]","[5.674620390455534, 0.3253796095444723]",6
"[0, 0, 2, 4, 0, 0]","[5.687635574837312, 0.3123644251626936]",6
"[0, 0, 2, 0, 4, 0]","[5.700650759219091, 0.29934924078091485]",6
"[0, 0, 0, 4, 2, 0]","[5.713665943600869, 0.2863340563991361]",6
"[0, 0, 0, 2, 4, 0]","[5.726681127982648, 0.2733188720173574]",6
"[1, 5, 0, 0, 0, 0]","[5.739696312364426, 0.26030368763557865]",6
"[1, 0, 5, 0, 0, 0]","[5.752711496746205, 0.24728850325379992]",6
"[1, 0, 0, 5, 0, 0]","[5.765726681127983, 0.23427331887202119]",6
"[1, 0, 0, 0, 5, 0]","[5.778741865509762, 0.22125813449024245]",6
"[0, 5, 1, 0, 0, 0]","[5.79175704989154, 0.20824295010846372]",6
"[0, 5, 0, 1, 0, 0]","[5.804772234273319, 0.195227765726685]",6
"[0, 5, 0, 0, 1, 0]","[5.817787418655097, 0.18221258134490625]",6
"[0, 1, 5, 0, 0, 0]","[5.830802603036876, 0.16919739696312752]",6
"[0, 1, 0, 5, 0, 0]","[5.843817787418654, 0.1561822125813488]",6
"[0, 1, 0, 0, 5, 0]","[5.856832971800433, 0.14316702819957006]",6
"[0, 0, 5, 1, 0, 0]","[5.869848156182211, 0.13015184381779132]",6
"[0, 0, 5, 0, 1, 0]","[5.88286334056399, 0.11713665943601259]",6
"[0, 0, 1, 5, 0, 0]","[5.895878524945768, 0.10412147505423386]",6
"[0, 0, 1, 0, 5, 0]","[5.908893709327547, 0.09110629067245513]",6
"[0, 0, 0, 5, 1, 0]","[5.921908893709325, 0.0780911062906764]",6
"[0, 0, 0, 1, 5, 0]","[5.934924078091104, 0.06507592190889766]",6
"[0, 6, 0, 0, 0, 0]","[5.947939262472882, 0.05206073752711892]",6
"[0, 0, 6, 0, 0, 0]","[5.960954446854661, 0.03904555314534018]",6
"[0, 0, 0, 6, 0, 0]","[5.973969631236439, 0.02603036876356144]",6
"[0, 0, 0, 0, 6, 0]","[5.986984815618218, 0.013015184381782702]",6
