HD point,LD Point,Equivalence Class
"[0, 2, 0, 2, 0, 0]","[3.3280000000000025, 0.671999999999997]",4
"[0, 2, 0, 0, 2, 0]","[3.3600000000000025, 0.639999999999997]",4
"[0, 0, 2, 2, 0, 0]","[3.3920000000000026, 0.607999999999997]",4
"[0, 0, 2, 0, 2, 0]","[3.4240000000000026, 0.575999999999997]",4
"[0, 0, 0, 2, 2, 0]","[3.4560000000000026, 0.5439999999999969]",4
"[0, 3, 1, 0, 0, 0]","[3.4880000000000027, 0.5119999999999969]",4
"[0, 3, 0, 1, 0, 0]","[3.5200000000000027, 0.4799999999999969]",4
"[0, 3, 0, 0, 1, 0]","[3.5520000000000027, 0.44799999999999685]",4
"[0, 1, 3, 0, 0, 0]","[3.5840000000000027, 0.4159999999999968]",4
"[0, 1, 0, 3, 0, 0]","[3.6160000000000028, 0.3839999999999968]",4
"[0, 1, 0, 0, 3, 0]","[3.648000000000003, 0.35199999999999676]",4
"[0, 0, 3, 1, 0, 0]","[3.680000000000003, 0.31999999999999673]",4
"[0, 0, 3, 0, 1, 0]","[3.712000000000003, 0.2879999999999967]",4
"[0, 0, 1, 3, 0, 0]","[3.744000000000003, 0.2559999999999967]",4
"[0, 0, 1, 0, 3, 0]","[3.776000000000003, 0.22399999999999667]",4
"[0, 0, 0, 3, 1, 0]","[3.808000000000003, 0.19199999999999667]",4
"[0, 0, 0, 1, 3, 0]","[3.840000000000003, 0.15999999999999667]",4
"[0, 4, 0, 0, 0, 0]","[3.872000000000003, 0.12799999999999667]",4
"[0, 0, 4, 0, 0, 0]","[3.904000000000003, 0.09599999999999667]",4
"[0, 0, 0, 4, 0, 0]","[3.936000000000003, 0.06399999999999667]",4
"[0, 0, 0, 0, 4, 0]","[3.968000000000003, 0.03199999999999667]",4
